pays;code;ville;societe;activite;site;email repere;telephone repere;note commerciale;statut
Norvège;NO;Åmot;Glass & Import AS (GIAS);Façonnage de verre plat et import;gias.no;;+47 466 11 111;LE NOM DIT L ACTIVITE : import de verre. Skibrekkberga 9. Aucune adresse email publiee : appeler Kjell Roger Larsen.;A APPELER
Norvège;NO;Spydeberg;Friva AS;Production norvegienne de verre de construction;friva.no;firmapost@friva.no;+47 69 83 38 00;Producteur de vitrage batiment : gros consommateur de float. Port Oslo. Envoi en anglais, port a confirmer par le client.;ENVOYE 2026-09-25
Nouvelle-Calédonie;NC;Nouméa (Ducos);ALL GLASS Miroiterie Vitrerie;Miroiterie et vitrerie;allglass.nc;contact@allglass.nc;;51 Rue Auer Ducos. Territoire insulaire, tout le verre arrive par conteneur. Port Noumea, envoi en francais.;ENVOYE 2026-09-25
Nouvelle-Calédonie;NC;Nouméa;MIVI — Miroiterie Vitrerie;Miroiterie et vitrerie, plus de 20 ans;mivi-miroiterie-vitrerie.com;mivi@mivi.nc;+687 24 11 84;Plus de 20 ans sur le batiment et l agencement caledoniens. Port Noumea. 38 rue Jules Ducos, Noumea. Envoi en francais.;ENVOYE 2026-09-25
Nouvelle-Zelande;NZ;Albany, Auckland;Glasscorp Limited;Distribution de verre et accessoires, plus de 6000 references;glasscorp.co.nz;sales@glasscorp.co.nz;;Plus gros fournisseur de produits verriers de Nouvelle-Zelande, 35 ans, base North Harbour Auckland. Port Auckland, envoi en anglais.;ENVOYE 2026-09-24
Nouvelle-Zelande;NZ;Christchurch;Pacific Glass NZ;Fourniture et sourcing de verre pour le negoce et le batiment;pacificglass.co.nz;admin@pacificglass.co.nz;;Fournisseur independant de verre pour vitriers NZ. Port Lyttelton, envoi en anglais.;ENVOYE 2026-09-24
Oman;OM;—;Al Aliyat Glass Factory;Transformation;;;;À qualifier.;
Oman;OM;—;Gulf Glass Co LLC;Négoce verre, profilés alu, façade;gulfglassoman.com;info@gulfglassoman.com;+968 2445 0611;Négociant : cible conteneur complet.;ENVOYE 2026-09-22
Oman;OM;—;Sunrise Technical Glass LLC;Biseautage, polissage, perçage, trempe, double vitrage;sunriseglass.me;info@sunriseglass.me;+968 9989 1771;Façonnage complet : consomme du float brut.;ENVOYE 2026-09-22
Oman;OM;Mascate (Darsait);Siraj Quryat Trading — SQT;Façade, isolant solaire, bombé, feuilleté, décoratif, depuis 2008;sqtsolutions.com;info@sqtsolutions.com;+968 9604 3825;Transformateur complet.;ENVOYE 2026-09-22
Oman;OM;Mascate (Ghala / Misfah);Al Tasnim Enterprises LLC;Transformation verre : double vitrage 20 000 m2, feuillete 9 000 m2, alu;altasnimgroup.com;info@altasnim.com;+968 2421 4000;TRES GROSSE UNITE — transformateur agree par tous les grands verriers d'Oman. Port Sohar.;ENVOYE 2026-09-23
Oman;OM;Mascate (Misfah Industrial);Glass Solutions;Usine : teinté, isolant, trempé;gs-oman.com;Production@gs-oman.com;+968 9136 1162;Usine identifiée en zone industrielle.;ENVOYE 2026-09-22
Oman;OM;Mascate, Rusayl;Bahwan Metal & Glass Engineering LLC;Transformation de verre et fabrication métallique;bahwanmge.com;info@bahwanmge.com;+968 2444 9999;Usine en propre de transformation du verre et de fabrication métallique. Port Sohar, envoi en arabe.;ENVOYE 2026-09-23
Oman;OM;Mascate;Noor Asadi Glass & Aluminum Factory;Transformation, float et verre réfléchissant, depuis 1986;noorasadioman.com;info@noorasadi.com;+968 2445 0661;Travaille déjà le float et le réfléchissant : deux lignes de votre catalogue.;ENVOYE 2026-09-22
Oman;OM;Rusayl;Decorative Glass Manufacturing LLC (Omzest);Verre decoratif;omzest.com;dgm@omzest.com;;Filiale du groupe Omzest.;ENVOYE 2026-09-23
Oman;OM;Salalah, Raysut;Dhofar Glass;Transformation de verre trempé, feuilleté et isolant;dhofarglass.com;info@dhofarglass.com;+968 9314 1001;Lignes de trempe, feuilletage et vitrage isolant, proximité du port de Salalah. Port Salalah, envoi en arabe.;ENVOYE 2026-09-23
Ouganda;UG;Kampala (Industrial Area);Shibaam Uganda Ltd;Feuillete, trempe, isolant, bombe, float;shibaamuganda.com;shibaamproducts@gmail.com;+256 708 155 923;Pays enclave : transit par Mombasa. 7th Street, SMS House. Pays enclave : port Mombasa puis route. Envoi en anglais.;ENVOYE 2026-09-23
Ouganda;UG;Kampala, zone industrielle;Casements Africa Limited;Fabrication de façades aluminium et verre;casements.co.ug;sales@casements.co.ug;+256 752 700700;Usine à Kampala et plus de 500 projets annoncés en Afrique de l'Est. Transit via Mombasa. Port via Mombasa, envoi en anglais.;ENVOYE 2026-09-23
Ouganda;UG;Kampala, zone industrielle;Tile Centre Limited;Fabrication de verre trempé et feuilleté;tilecentre.co.ug;info@tilecentre.co.ug;+256 414 348232;Unité de fabrication de verre trempé et feuilleté. Transit via Mombasa. Port via Mombasa, envoi en anglais.;ENVOYE 2026-09-23
Ouzbékistan;UZ;Tachkent;AKFA Group;Profiles PVC et aluminium, fenetres, materiaux de construction;akfa.uz;info@akfagroup.com;+998 71 203 0000;Un des plus gros groupes prives ouzbeks, gros consommateur de verre. Pays enclave, transit via Poti ou Bandar Abbas. 2 rue Makhtumkuli, Tachkent. Pays enclave : conteneur ferroviaire. Envoi en russe.;ENVOYE 2026-09-25
Pakistan;PK;Islamabad, Islamabad Highway;GreenTech Glass;Transformation industrielle de verre architectural;greentechglass.com;info@greentechglass.com;+92 51 5165800;Usine équipée LiSEC et Bottero avec bureaux à Lahore et Karachi, cibler Low-E et jumbo. Port Karachi, envoi en anglais.;ENVOYE 2026-09-23
Pakistan;PK;Islamabad, Rawat RCCI Industrial Estate;Madina Glass Processing;Transformation de verre trempé, feuilleté et isolant;mgp.com.pk;info.glassplus.pak@gmail.com;+92 51 4499270;Deux unités à Sargodha et Islamabad, cinq fours de trempe et trois autoclaves annoncés. Port Karachi, envoi en anglais.;ENVOYE 2026-09-23
Pakistan;PK;Lahore, Farooq Industrial Estate;Harris Silicones & Glass (Pvt.) Ltd.;Transformation de verre trempé et isolant;harris.com.pk;info@harris.com.pk;+92 42 35950324;Trempe grand format et ligne automatique de vitrage isolant à argon, cibler float et Low-E. Port Karachi, envoi en anglais.;ENVOYE 2026-09-23
Pakistan;PK;Lahore, Gulistan Colony;AD Tempered Glass;Transformation de verre trempé et façonné;adtemperedglass.com;info@adtemperedglass.com;+92 321 7256559;Nouvelle installation de trempe, transforme du verre local et importé. Port Karachi, envoi en anglais.;ENVOYE 2026-09-23
Pakistan;PK;Lahore, Johar Town;Al-Fattah Toughened Glass Industries;Transformation de verre trempé et aluminium;al-fattah.com;info@al-fattah.com;+92 340 0005600;Installation européenne de trempe, cibler float et verre à couches. Port Karachi, envoi en anglais.;ENVOYE 2026-09-23
Panama;PA;Panama;EXTRALUM Panama;Verre et aluminium, filiale du groupe Extralum;extralum.com.pa;ventas@extralum.com.pa;+507 233 9700;Filiale panameenne du groupe Extralum. Port Colon ou Balboa, envoi en espagnol.;ENVOYE 2026-09-24
Panama;PA;Ville de Panama (Rio Abajo);Grupo Kefren;Verre brut, feuillete, trempe et isolant, facades;grupokefren.com;kefren@grupokefren.com;;Facades verre : viser le feuillete et le vitrage isolant. Lot Panama vers Colon.;ENVOYE 2026-09-23
Panama;PA;Ville de Panama;Vidrios Especiales;Trempe et feuillete, menuiserie alu, accessoires verre;vidriosespecialespty.com;info@vidriosespecialespty.com;+507 6130 2604;Lot Panama en copie cachee vers Colon (Manzanillo). Envoi en espagnol.;ENVOYE 2026-09-23
Papouasie-Nouvelle-Guinée;PG;Port Moresby (Waigani);Quality Glass & Aluminium;Fourniture et pose de verre et d aluminium;qualityglassaluminium.com;customerservice@qualitygroup.com.pg;;Filiale du Quality Group, principal fournisseur verre-aluminium de Port Moresby. Port Port Moresby ou Lae, envoi en anglais.;ENVOYE 2026-09-24
Paraguay;PY;Asunción;Casa Barrios e Hijos SA;Verre, trempe, mamparas et portes tournantes;casabarrios.com;;+595 981 429155;REBOND 24/09 : le domaine casabarrios.com.py n existe pas, essayer casabarrios.com ou appeler. Pays enclave, transit via Montevideo ou Buenos Aires.;A APPELER
Paraguay;PY;Fernando de la Mora, Minga Guazu, Encarnacion;VILUX S.A. (ex Vidriocar, Grupo Costa);Transformation de verre et solutions constructives, pres de 50 ans;vilux.com.py;;;Plus gros transformateur verrier du Paraguay, quatre sites. Aucune adresse email publiee : a rappeler. Transit via Montevideo ou Buenos Aires.;A APPELER
Pays-Bas;NL;'s-Hertogenbosch;LHV Glas;Grossiste en verre avec production et logistique propres;lhvglas.nl;info@lhvglas.nl;+31 73 623 3133;De Bloemendaal 7a. Port Rotterdam, envoi en neerlandais.;ENVOYE 2026-09-25
Pays-Bas;NL;Drachten;Drachtster Glashandel B.V.;Grossiste en verre;drachtsterglashandel.nl;info@drachtsterglashandel.nl;+31 512 533 036;Port Rotterdam, envoi en neerlandais.;ENVOYE 2026-09-25
Pays-Bas;NL;La Haye;Van den Heuvel Glas;Grossiste independant en verre;heuvelglas.nl;info@heuvelglas.nl;+31 70 319 6900;Se presente comme grossiste independant. Port Rotterdam, envoi en neerlandais.;ENVOYE 2026-09-25
Pays-Bas;NL;Rotterdam;Ooster Glashandel;Grossiste en verre plat;oosterglashandel.nl;verkoop@oosterglas.nl;+31 10 418 5188;Veldkersweg 35, sur Rotterdam. Envoi en neerlandais.;ENVOYE 2026-09-25
Pays-Bas;NL;Veendam;Glascentrum Veendam;Grossiste en verre plat;glascentrumveendam.nl;info@glascentrumveendam.nl;+31 598 361 420;Port Rotterdam ou Eemshaven, envoi en neerlandais.;ENVOYE 2026-09-25
Pérou;PE;Lima (La Victoria);Corporación Limatambo;Commercialisation et distribution de verre et aluminium;corporacionlimatambo.com;;+51 996 813 440;Se presente comme le plus gros distributeur de verre du Perou, trois sites Lima. Aucune adresse email publiee : appeler. Port Callao.;A APPELER
Pérou;PE;Lima (La Victoria);Corporación Miyasato;Transformation et distribution de verre et d aluminium depuis 1939;miyasato.com.pe;;;UN DES PLUS GROS TRANSFORMATEURS-DISTRIBUTEURS D AMERIQUE LATINE : sept sites au Perou plus un siege au Chili, 70 ans de metier. Aucune adresse email publiee : a rappeler. Port Callao.;A APPELER
Pérou;PE;Lima (Los Olivos);ZAKATA GLASS;Fabrication de verre trempe et feuillete pour l architecture, l automobile et l electromenager;zakataglass.com;zakataglass@gmail.com;+51 955 555 747;Transformateur trempe et feuillete, C. los Martillos 5083. Port Callao, envoi en espagnol.;ENVOYE 2026-09-25
Pérou;PE;Lima;Vidrieria Canovas;Vitrages et cristaux, projets architecturaux;canovas.pe;proyectos@canovas.pe;+51 203 0909;Vitrier de projets a Lima. Port Callao. Envoi en espagnol.;ENVOYE 2026-09-23
Philippines;PH;—;Pioneer Float Glass Mfg Inc.;Producteur de float clair et teinté, 60 ans;pfg.com.ph;;;PRODUCTEUR DE FLOAT — concurrent local, ne pas démarcher sur le float clair.;
Philippines;PH;Cebu / Mandaue;Kima Glass Supply Co.;Negociant verre plat;kimaglass.com;showroom@kimaglass.com;;Maison fondee en 1974. Deux adresses Cebu et Mandaue. Port Cebu;ENVOYE 2026-09-25
Philippines;PH;Mandaluyong (Manille);Pacific Glass Corporation;Transformateur et distributeur : trempe, feuillete, vitrage isolant;pacificglass.com.ph;csa@pacificglass.com.ph;+632 631 8221;LEADER PHILIPPIN DE LA TRANSFORMATION — port Manille Sud. info@ et sales@ rebondissent (550 No such user) ; seul csa@ passe. Appeler pour confirmer l'adresse commerciale.;ENVOYE 2026-09-23
Philippines;PH;Manille (Sta Cruz);Chain Glass Enterprises Inc.;Distribution de verre plat et d'aluminium;chainglass.com;marketing@chainglass.com;+63 2 8781 6791;DISTRIBUTEUR DE AGC FLAT GLASS PHILIPPINES, 2630 Rizal Avenue. Port Manille, envoi en anglais.;ENVOYE 2026-09-25
Pologne;PL;Gdańsk;Glass Hurt;Gros de verre de construction, trempe, feuillete, vitrage isolant;glasshurt.pl;;+48 530 412 642;Grossiste sur la Triville (Gdansk, Gdynia, Sopot), a 10 minutes du port. Aucune adresse email publiee : a rappeler.;A APPELER
Pologne;PL;Plewiska (Poznań);POLANA — Świat Szkła;Gros de verre plat et verre decoratif, impression UV;polana-glass.pl;biuro@polana-glass.pl;+48 667 499 967;Commandes de gros pour le batiment et l'ameublement. Port Gdansk, envoi en polonais.;ENVOYE 2026-09-25
Pologne;PL;Śliwice;Wutkowski Sp. z o.o.;Distribution et façonnage de verre plat;wutkowski.com.pl;contact@wutkowski.com.pl;+48 52 334 08 10;DISTRIBUTEUR-TRANSFORMATEUR servant le marche national et l'export : cible prioritaire. Port Gdansk, envoi en polonais.;ENVOYE 2026-09-25
Pologne;PL;Varsovie (Mokotów);Hurt Glass — Kądziela;Gros de verre et de miroirs depuis 1990;hurtglass.pl;hurtglass@hurtglass.pl;+48 22 843 18 01;Grossiste verre et miroirs, ul. Bokserska 62c. Port Gdansk, envoi en polonais.;ENVOYE 2026-09-25
Polynésie française;PF;Arue (Tahiti);SPM — Société Polynésienne de Miroiterie;Miroiterie, vitrerie, agencement de vitrines et magasins;;;+689 40 43 64 60;Miroiterie avec ateliers propres sur Tahiti. PK 4.5 Route de l eau Royale. Aucune adresse email publiee : appeler. Port Papeete.;A APPELER
Polynésie française;PF;Papeete;SOMALU — Société Océanienne pour les Matériaux Aluminium;Menuiserie aluminium, vitrerie et miroiterie;;;;Specialiste alu-verre de Papeete. Aucune adresse email publiee : a rappeler. Port Papeete.;A APPELER
Portugal;PT;Baguim do Monte (Gondomar, Porto);VCP — Vidraria Central do Porto;Negoce et transformation de verre plat;vidrariacentraldoporto.com;geral@vcp.pt;;Port Leixoes, envoi en portugais.;ENVOYE 2026-09-25
Portugal;PT;Lisbonne;Vetrometal;Négoce et transformation de verre;vetrometal.com;info@vetrometal.com;;Port Lisbonne, envoi en portugais.;ENVOYE 2026-09-25
Portugal;PT;Nord du Portugal;Nortempera — Indústria de Vidros Temperados do Norte;Trempe de verre plat;nortempera.pt;geral@nortempera.pt;;Trempeur industriel : gros consommateur de float. Port Leixoes, envoi en portugais.;ENVOYE 2026-09-25
Portugal;PT;Porto;Bizália — Sociedade Transformadora de Vidro;Transformation de verre plat;bizalia.pt;geral@bizalia.pt;;Port Leixoes, envoi en portugais.;ENVOYE 2026-09-25
Portugal;PT;São João da Talha (Loures);Vicar — Vidros e Espelhos;Verre et miroiterie;vicar.pt;;;Port Lisbonne, envoi en portugais DOMAINE vicar.pt INTROUVABLE le 25/09 : chercher le bon domaine ou appeler.;ADRESSE INVALIDE
Portugal;PT;Sintra et Famões;Vidrofornense;Verre et miroiterie, deux sites;vidrofornense.pt;geral@vidrofornense.pt;;Port Lisbonne, envoi en portugais.;ENVOYE 2026-09-25
Portugal;PT;Vilamoura (Algarve);Vidralgar — Indústria e Transformação de Vidro;Transformation de verre plat;vidralgar.pt;geral@vidralgar.pt;;Couvre l Algarve. Port Lisbonne ou Setubal, envoi en portugais.;ENVOYE 2026-09-25
Qatar;QA;—;Bullseye Zoujaj;Verre bâtiment;bullseyezoujaj.com;;;À qualifier.;
Qatar;QA;—;Calisto Glass;Verre bâtiment;calistoglass.com;;;À qualifier.;
Qatar;QA;Al Rayyan, Sailiya;Al Khinji Group;Négoce et transformation de verre plat;alkhinjigroup.com;info@alkhinjigroup.com;+974 6688 7351;Division industrielle proposant trempe, feuilletage et double vitrage, cibler float et miroir. Port Hamad Port, envoi en arabe.;ENVOYE 2026-09-23
Qatar;QA;Doha (New Industrial Area);Panorama Glass Factory;Stockiste, importateur, exportateur, grossiste, depuis 2015;panoramaglass.net;info@panoramaglass.net;+974 4488 9185;IMPORTATEUR-GROSSISTE : achète au conteneur, cible prioritaire.;ENVOYE 2026-09-22
Qatar;QA;Doha (New Industrial City);Dallas Glass;Usine de transformation de 7 400 m²;dallasqatar.com;info@dallasqatar.com;+974 4411 4651;Outil industriel conséquent.;ENVOYE 2026-09-22
Qatar;QA;Doha, New Industrial Area;Al-Jawdah Glass Company;Fabrication de verre architectural et miroirs;al-jawdahglass.com;info@al-jawdahglass.com;+974 3330 0505;Membre du groupe Al Ghanem avec usine et deux implantations commerciales. Port Hamad Port, envoi en arabe.;ENVOYE 2026-09-23
Qatar;QA;Doha, zone industrielle rue 43;Nabina Aluminium & Glass Factory;Transformation de verre et fabrication aluminium;nabinaglass.com;nagf@nabinaholding.com;+974 4460 5949;Usine intégrée avec trempe, feuilletage et double vitrage, cibler float et Low-E. Port Hamad Port, envoi en arabe.;ENVOYE 2026-09-23
Qatar;QA;Doha;Al Watan Glass;Trempé, feuilleté, isolant, miroir, décoratif;alwatanglass.com;sales2@alwatanglass.com;+974 4460 6124;Gamme complète, correspond à tout le catalogue.;ENVOYE 2026-09-22
Qatar;QA;Doha;Glasstech Trading & Contracting;Facade, verre sans cadre, feuillete, trempe, portes coupe-feu;glasstechqatar.com;info@glasstechqatar.com;+974 7444 8483;Facadier : consomme du feuillete et du trempe en continu.;ENVOYE 2026-09-23
Qatar;QA;Doha;Kyda International;Fourniture de verre, Doha, Lusail, Al Wakra;kyda.qa;;;À qualifier.;
Qatar;QA;Doha;Technical Glass & Aluminium (TGAC);"Façade ; 2 500 m²/j de trempe, 1 000 m²/j de feuilleté";tgac.net;glass.qatar@tgac.net;+974 4460 4488;Capacité chiffrée : le plus gros consommateur de float de la liste.;ENVOYE 2026-09-22
République dominicaine;DO;Saint-Domingue (Distrito Nacional);IMPORTDOM — Importa Dominicana de Vidrios y Materiales;Importation de verre et de materiaux;;;;Calle 1ra n 10, El Naranjo. IMPORTATEUR DECLARE. Aucune adresse email publiee : a rappeler. Port Caucedo.;A APPELER
République dominicaine;DO;Saint-Domingue Ouest (Manoguayabo);Biselados del Caribe S.A.;Biseautage, trempe, feuillete, facades;biselados.net.do;info@biselados.net.do;+1 809 379 1716;Lot Republique dominicaine en copie cachee vers Caucedo. Envoi en espagnol.;ENVOYE 2026-09-23
République dominicaine;DO;Saint-Domingue Ouest;Amex Industrial;Structures aluminium et verre;amexindustrial.com;info@amexindustrial.com;+1 809 732 3814;Menuiserie alu-verre. Lot Republique dominicaine vers Caucedo.;ENVOYE 2026-09-23
République dominicaine;DO;Saint-Domingue;Vidriería Central;Importation et négoce de verre;;vidrieriacentral@hotmail.com;;Deux etablissements a Saint-Domingue. Adresse trouvee sur un annuaire de 2015 : a verifier avant envoi. Port Caucedo.;A QUALIFIER
République dominicaine;DO;Santiago, La Vega et Saint-Domingue;Vidriera Eurocaribe;Importation et distribution de materiaux pour menuiserie alu et verre;;;;Trois implantations. IMPORTATEUR-DISTRIBUTEUR. Aucune adresse email publiee : a rappeler. Port Caucedo.;A APPELER
Roumanie;RO;—;AGOTERM;Double et triple vitrage de 14 à 52 mm, securizat, ornemental;agoterm.ro;vanzari@agoterm.ro;+40 752 198 278;Fabricant de vitrage isolant : gros consommateur de float et Low-E. Port Constanta, envoi en roumain.;ENVOYE 2026-09-25
Roumanie;RO;—;Brad Glass;Termoizolant, securizat, portes et garde-corps;bradglass.ro;office@bradglass.ro;+40 747 033 550;À qualifier. Port Constanta, envoi en roumain.;ENVOYE 2026-09-25
Roumanie;RO;—;Remar GlobalGlass;Geam termopan et geam clair;remarglass.ro;remarglobalglass@gmail.com;+40 767 490 113;À qualifier. Port Constanta, envoi en roumain.;ENVOYE 2026-09-25
Roumanie;RO;—;TAMISTEF;Geamuri termopan, 18 ans;geam-termopan.ro;office@tamistef.ro;+40 757 222 272;À qualifier. Port Constanta, envoi en roumain.;ENVOYE 2026-09-25
Roumanie;RO;—;TGP — TamoGlass Perfect;Securizat, laminat, sablat, termopan;tgp.ro;comenzi@tamoglass.ro;+40 756 734 899;Transformateur complet. Port Constanta, envoi en roumain.;ENVOYE 2026-09-25
Roumanie;RO;Brașov;TDC Glass;Termoizolant, vitrages de façade, securizat, laminat;tdcglass.ro;comenzi@tdcglass.ro;+40 725 559 769;Usine à Brașov. Port Constanta, envoi en roumain.;ENVOYE 2026-09-25
Roumanie;RO;Ploiești;VALRAS Glass;Geam termoizolant, verre architectural, plus de 30 ans;valras.ro;office@valras.ro;+40 244 597 825;Port de Constanța à 200 km. Port Constanta, envoi en roumain.;ENVOYE 2026-09-25
Roumanie;RO;Sălaj;Cristal Grup;Distributeur de verre, transport assuré;cristalgeam.ro;contact@cristalgeam.ro;+40 260 624 004;DISTRIBUTEUR : cible conteneur complet. Port Constanta, envoi en roumain.;ENVOYE 2026-09-25
Royaume-Uni;GB;Croydon (Londres);The Wholesale Glass Company;Gros de float, low-iron, Low-E, controle solaire, autonettoyant;wholesaleglasscompany.co.uk;sales@wholesaleglasscompany.co.uk;+44 20 8664 3768;Unit 13 Tramsheds Industrial Estate. info@ egalement touche. Port Felixstowe ou London Gateway, envoi en anglais.;ENVOYE 2026-09-25
Royaume-Uni;GB;Ilford (Essex);The Glass Warehouse;Fabrication de trempe, float et feuillete pour le negoce;theglasswarehouse.co.uk;;+44 20 8500 1188;51-55 Fowler Road, Hainault Business Park. Aucune adresse email publiee : a rappeler.;A APPELER
Royaume-Uni;GB;Manchester (Roundthorn);Float Glass Industries Ltd;Distribution independante de verre plat;floatglass.co.uk;ce@floatglass.co.uk;+44 161 946 8000;LE PLUS GROS DISTRIBUTEUR INDEPENDANT DE VERRE PLAT DU ROYAUME-UNI, Float Glass House, Floats Road. Port Liverpool ou Felixstowe, envoi en anglais.;ENVOYE 2026-09-25
Rwanda;RW;Kigali;Mwenzo Aluminium & Glass Ltd;Fabrication et fourniture de produits aluminium et verre;mwenzo.com;info@mwenzo.com;+250 782 739 191;Fabricant-fournisseur de reference a Kigali. Pays enclave : transit via Mombasa ou Dar es Salaam. Envoi en anglais.;ENVOYE 2026-09-24
Sainte-Lucie;LC;Castries;Caribbean Metals Ltd;Fourniture de fenetres aluminium;caribbeanmetalslimited.com;;;Premier fournisseur de fenetres aluminium de Sainte-Lucie. Aucune adresse email publiee : a rappeler. Port Castries.;A APPELER
Sainte-Lucie;LC;Sainte-Lucie;Saint Lu Metal & Plastic Manufacturers Ltd;Fabrication de fenetres et portes aluminium depuis 1979;;;;Leader local depuis 1979. Aucune adresse email publiee : a rappeler. Port Castries.;A APPELER
Salvador;SV;San Salvador (Col. Miramonte);Vidrieria Los Angeles;Import, distribution et transformation de verre et miroirs depuis 1980;vidrierialosangeles.com;ventas@vidrierialosangeles.com;+503 2204 3900;IMPORTATEUR DECLARE : importe deja du verre et des miroirs du Chili, Venezuela, Colombie, Mexique et Etats-Unis. Cible majeure. Port Acajutla, envoi en espagnol.;ENVOYE 2026-09-24
Sénégal;SN;Dakar (Av. Blaise Diagne x Rue Armand Angrand);Sénégal Miroir;Verre et miroiterie de qualité européenne;;senegalmiroir@hotmail.fr;+221 33 822 24 82;Se positionne deja sur la qualite europeenne : argument direct. Profil showroom : verifier la taille avant de relancer. Port Dakar.;ENVOYE 2026-09-22
Sénégal;SN;Dakar;C3S Sénégal;Sablage, polissage, biseautage, décoration du verre;c3s.sn;;;BP 23583 Dakar. Façonnier.;
Sénégal;SN;Dakar;ETS Mbaye et Frères;Aluminium, vitrerie, inox, composite, verre trempé;;;;Négoce matériaux : achète en volume. Negociant multi-materiaux incluant le verre trempe. Aucune adresse email publiee : a rappeler. Port Dakar.;A APPELER
Sénégal;SN;Dakar;SK ALU;Vitrerie, miroiterie, découpe;;;+221 65 944 90 80;Petite structure, à qualifier.;
Serbie;RS;Belgrade (Rakovica);IN STAKLO ENTERIJER d.o.o.;Façonnage et traitement du verre plat (code 2312);;instaklo@ptt.rs;+381 64 645 6932;Patrijarha Dimitrija 24. Pays enclave, transit par Koper ou Rijeka.;ENVOYE 2026-09-25
Serbie;RS;Belgrade (Zemun);Kaljeno Staklo d.o.o.;Verre trempe;kaljenostaklo.rs;office@kaljenostaklo.rs;+381 64 311 9747;Pays enclave : transit par Koper ou Rijeka.;ENVOYE 2026-09-23
Serbie;RS;Belgrade (Zvezdara);TINIS COMPANY d.o.o.;Import et gros de verre depuis 1992;tinisco.com;;+381 11 347 17 05;IMPORTATEUR-GROSSISTE familial depuis 1992, verre de construction et decoratif : cible prioritaire. Pays enclave, transit par Koper ou Rijeka. ADRESSE REBONDIE le 25/09 (550 user account) : appeler le +381 11 347 17 05.;A APPELER
Serbie;RS;Belgrade;Glassline;Gros et detail de verre;glassline.co.rs;glasslinebgd@gmail.com;+381 11 423 04 61;Skenderbegova 4. Pays enclave, transit par Koper ou Rijeka.;ENVOYE 2026-09-25
Serbie;RS;Belgrade;ROMIKS;Verre trempe;romiks.rs;info@romiks.rs;+381 63 696 446;Pays enclave : transit par Koper. ADRESSE REBONDIE : rappeler au +381 63 696 446.;ADRESSE INVALIDE
Seychelles;SC;Mahé (Providence Industrial Estate);Ma & Sun Aluminium Seychelles;Menuiserie aluminium et vitrage;masunseychelles.com;mnsaluminium1@gmail.com;;Marche insulaire 100 pour cent importateur, forte demande hoteliere. Port Victoria, envoi en anglais.;ENVOYE 2026-09-24
Sierra Leone;SL;Freetown;Gr8 Vision Investment SL Ltd (Premier Aluminium);Fabrication de fenetres et portes aluminium;gr8vision-sl.com;;;Specialiste menuiserie aluminium de Freetown. Aucune adresse email publiee : a rappeler. Port Freetown.;A APPELER
Singapour;SG;Singapour (Gul Drive);H T Glass Pte Ltd;Transformateur architectural : trempe, feuillete, email ceramique numerique;htglass.com.sg;enquiries@htglass.com.sg;+65 6269 3345;Certifie AGC — transformateur architectural haut de gamme. Port Singapour.;ENVOYE 2026-09-23
Singapour;SG;Singapour (Joo Koon Circle);Siew Kong Glass Makers Pte Ltd;Verre feuillete et verre imprime numerique;siewkongglass.com.sg;sales@siewkongglass.com.sg;;43 Joo Koon Circle. Port Singapour, envoi en anglais.;ENVOYE 2026-09-25
Slovaquie;SK;Dunajská Streda;WINDOW GLASS s.r.o.;Vitrage isolant, feuillete, trempe, usinage CNC et gros de verre;windowglass.sk;info@windowglass.sk;+421 918 973 544;Mliecany 64. VEND DU FLOAT EN GROS (gamme UltraClear). Pays enclave : transit par Koper, Rijeka ou Hambourg. Envoi en anglais.;ENVOYE 2026-09-25
Somalie;SO;Mogadiscio (Banadir);Alhatimi Glass & Glazing;Profiles aluminium et PVC, fenetres, portes et tous types de verre;;;;Fournisseur verre-aluminium de Mogadiscio. Aucune adresse email publiee : a rappeler. Port Mogadiscio.;A APPELER
Sri Lanka;LK;Athurugiriya (Colombo);Asoka Glass & Mirror S3 (Pvt) Ltd;Verre et miroiterie depuis 1946, reseau de revendeurs;asokaglass.lk;info@asokaglass.lk;+94 117 514 501;MAISON DE 1946 avec reseau de revendeurs dans tout le pays. Port Colombo, envoi en anglais.;ENVOYE 2026-09-25
Sri Lanka;LK;Colombo 04;IRU Glass & Mirror Company;Verre et miroiterie;iruglass.com;iruglass@sltnet.lk;;Sur Colombo, premier port du pays. ADRESSE REBONDIE le 23/09 (mail receiving disabled) : chercher une autre adresse ou appeler.;ADRESSE INVALIDE
Sri Lanka;LK;Colombo 13 (Sangamitta Mawatha);Globe Glass (Pvt) Ltd;Trempe, float, miroir, feuillete, controle solaire, double vitrage;globeglass.lk;info@globeglass.lk;+94 11 238 6038;IMPORTATEUR-STOCKISTE-DISTRIBUTEUR depuis 1969, No. 35 Sangamitta Mawatha. Gamme complete et activite export. Port Colombo, envoi en anglais.;ENVOYE 2026-09-25
Sri Lanka;LK;Colombo 14 (Prince of Wales Ave);Thai Tempered Glass (Pvt) Ltd;Trempe, faconnage, feuilletage, sablage depuis 2000;thaitempered.lk;info@thaitempered.lk;+94 74 202 8590;Pionnier de la transformation du verre au Sri Lanka. Port Colombo. Envoi en anglais.;ENVOYE 2026-09-24
